,Close
238,738.099976
239,733.030029
240,717.25
241,721.710022
242,715.3099980000001
243,721.780029
244,720.1900019999999
245,730.299988
246,724.830017
247,728.070007
248,730.549988
249,739.380005
250,729.130005
251,725.179993
252,714.710022
253,711.369995
254,708.4400019999999
255,714.409973
256,707.880005
257,705.0599980000001
258,721.460022
259,725.369995
260,742.210022
261,737.77002
262,780.0
263,774.919983
264,776.25
265,787.679993
266,780.0
267,775.3900150000001
268,771.909973
269,764.320007
270,757.539978
271,759.469971
272,760.119995
273,768.070007
274,758.570007
275,765.119995
276,769.669983
277,762.900024
278,768.340027
279,765.8900150000001
280,753.280029
281,754.840027
282,757.5599980000001
283,760.049988
284,762.159973
285,755.409973
286,758.47998
287,757.3599849999999
288,750.570007
289,750.23999
290,744.869995
291,732.169983
292,725.409973
293,713.530029
294,712.799988
295,730.219971
296,731.590027
297,739.47998
298,742.169983
299,717.219971
300,724.8599849999999
301,729.119995
302,720.900024
303,717.289978
304,729.049988
305,722.1099849999999
306,717.51001
307,731.969971
308,717.6400150000001
309,706.8900150000001
310,706.3599849999999
311,706.849976
312,701.02002
313,704.159973
314,703.76001
315,730.030029
316,749.380005
317,780.909973
318,770.77002
319,761.349976
320,748.299988
321,717.580017
322,733.789978
323,733.619995
324,745.460022
325,726.669983
326,718.5599980000001
327,719.080017
328,710.48999
329,731.3900150000001
330,719.570007
331,745.340027
332,733.070007
333,730.909973
334,741.0
335,759.330017
336,761.530029
337,759.4400019999999
338,778.01001
339,790.299988
340,793.960022
341,782.23999
342,765.840027
343,768.51001
344,767.130005
345,760.799988
346,756.849976
347,769.830017
348,776.590027
349,760.090027
350,762.539978
351,750.419983
352,760.039978
353,762.549988
354,775.1400150000001
355,772.98999
356,779.210022
357,768.200012
358,777.849976
359,783.789978
360,762.849976
361,771.969971
362,769.26001
363,769.630005
364,776.700012
365,777.0
366,759.9400019999999
367,760.01001
368,745.97998
369,750.419983
370,740.070007
371,756.530029
372,765.25
373,758.26001
374,754.77002
375,761.599976
376,760.669983
377,755.3099980000001
378,748.820007
379,747.73999
380,737.3900150000001
381,744.849976
382,736.919983
383,732.820007
384,731.119995
385,719.330017
386,681.1400150000001
387,671.799988
388,680.0
389,699.950012
390,695.320007
391,693.02002
392,680.409973
393,683.169983
394,676.429993
395,671.23999
396,667.0
397,670.0
398,671.6400150000001
399,671.679993
400,656.98999
401,642.0
402,638.369995
403,622.6099849999999
404,624.25
405,640.150024
406,654.909973
407,653.289978
408,653.200012
409,666.97998
410,660.919983
411,671.669983
412,665.52002
413,665.070007
414,652.469971
415,655.299988
416,651.080017
417,643.409973
418,643.880005
419,628.960022
420,637.049988
421,644.909973
422,629.5599980000001
423,647.820007
424,659.6900019999999
425,667.960022
426,659.73999
427,612.469971
428,618.1099849999999
429,644.030029
430,679.47998
431,694.039978
432,688.72998
433,694.1099849999999
434,689.369995
435,686.51001
436,691.469971
437,690.299988
438,663.1400150000001
439,664.3900150000001
440,670.150024
441,673.289978
442,661.280029
443,664.719971
444,657.5
445,664.5599980000001
446,661.429993
447,659.659973
448,658.27002
449,654.77002
450,674.72998
451,695.099976
452,695.349976
453,692.840027
454,699.619995
455,601.780029
456,583.960022
457,584.179993
458,571.72998
459,556.1099849999999
460,544.650024
461,541.700012
462,550.030029
463,545.619995
464,547.340027
465,543.299988
466,540.039978
467,541.25
468,553.0599980000001
469,557.950012
470,558.570007
471,563.3900150000001
472,559.679993
473,557.52002
474,556.179993
475,546.599976
476,544.869995
477,543.0
478,547.469971
479,550.039978
480,552.599976
481,542.159973
482,543.47998
483,549.530029
484,551.6900019999999
485,555.289978
486,553.950012
487,549.210022
488,545.320007
489,554.179993
490,554.25
491,547.1900019999999
492,554.52002
493,556.8099980000001
494,552.51001
